OBJECTID,PROPERTYID,NAME,ACRES,Shape_Length,Shape_Area
72,1140,Jamison Square,0.94114987,352.424187094036,7761.1559715918
73,900,Jefferson Street Property,1.60397239,551.38980401899,13219.6153920034
74,201,Jensen Natural Area,2.27899503,682.85819198422,18744.7541062225
75,202,John Luby Park,10.41684547,1210.89879100795,85934.7024607482
76,205,Johnson Creek Park,4.52188404,814.847925691703,37200.1397694974
77,207,Johnson Lake Property,15.19542127,1759.5670852168,125469.63484759
78,1291,Joseph Wood Hill Park,2.42129284,567.982233231158,19979.3077930243
79,213,Kenilworth Park,8.39543786,1117.68881159264,69141.1281846221
80,214,Kennedy Community Garden,0.35916834,245.461665014713,2965.52476467124
81,216,Kern Park,1.62426934,473.887097226582,13377.7559115329
82,901,Kerr Site,9.99885108,1159.73240709795,82195.7800472809
83,217,Dr Martin Luther King Jr School Park,2.63711314,674.962908602961,21768.4285260614
84,219,Kingsley Park,1.13233903,479.670170077932,9362.68867252115
85,221,Ladds Circle and Squares,2.69735282,1218.69120695706,22227.6350320171
86,222,Lair Hill Park,3.26196067,684.768150813803,26873.8066921865
87,225,Laurelwood Park,0.42457582,299.72529907702,3496.46479648641
88,234,Lents Park,38.0716075,2428.36814403778,313496.893193136
89,236,Lesser Park,8.40079173,1080.05219276217,69055.8567061437
90,238,Lillis-Albina Park,3.92751087,917.337477211012,32401.0077717343
91,242,Lovejoy Fountain,1.10767268,398.00553440492,9128.06159159288
92,244,Verdell Burdine Rutherford Park,7.70275046,1167.70715677814,63481.1651391535
93,245,Lynchwood Park,8.45390335,1094.96371601609,69639.7949942993
94,248,Mallory Meadows Park,0.1794049,155.084660303691,1481.20377921459
95,249,Maricara Natural Area,17.25425883,1657.53304475394,141888.226295934
96,1117,Matt Dishman Community Center and Pool,1.61843812,539.190993160199,13352.5440117123
97,1258,McCoy Park,3.82282617,925.655996119699,31592.1183541392
98,259,McKenna Park,4.51985265,799.118212787756,37342.1606323636
99,261,Merrifield Park,0.95016375,355.306305465572,7838.0530879784
100,264,Midland Park,1.89507577,524.425902614969,15620.746695771
101,268,Montavilla Park,9.48043075,1201.17526255765,78176.6978689591
102,907,Moore Island,7.35814477,1304.43522973466,60820.6265051328
103,271,Mt Scott Park,11.21665004,1347.76877347491,92343.5783627313
104,275,Mt Tabor Park,174.34309696,6334.69158703227,1436841.20593964
105,294,Munger Property,14.81593238,3392.20804494367,122102.300318965
106,1257,N Willamette and Bryant,0.01336551,51.0596074160791,110.390439375955
107,402,NE Holman and 13th,0.13335805,145.259407713596,1101.24313437189
108,436,NE Sumner & 47th,0.35125622,230.869268298514,2899.74231744921
109,444,Normandale Park,13.69053148,1566.24503763507,112909.601854513
110,447,North Park Blocks,3.11287941,1748.00006031804,25666.7676198622
111,449,North Powellhurst Park,3.90412108,1522.82962228171,32178.0712150954
112,450,Maint Facility - 21st and Pacific,0.34435256,217.624323429209,2839.74380242519
113,451,Northgate Park,10.87195279,1268.11922427909,89848.2819789223
114,488,Darcelle XV Plaza,0.45976899,261.239818240489,3790.43912694186
115,492,Oaks Pioneer Church and Park,1.30979814,467.906251417844,10777.2535307517
116,495,Oregon Park,3.28797134,671.383842635049,27113.0693526893
117,496,Overlook House Community Center,1.24669682,476.90524463637,10288.5874625513
118,501,Parklane Park,25.60081026,1963.87152663347,211007.948348254
119,502,Patton Square Park,1.25741815,408.374486040167,10381.1199450262
120,503,Pendleton Park,5.20834686,867.921863094199,42877.3820384443
121,506,Peninsula Crossing Trail,9.07299481,4862.56387693269,74979.8273790085
122,507,Peninsula Park,16.33648881,1557.9830474045,134903.545189225
123,510,Peter Kerr Property,3.1143826,819.186600012973,25598.8980966146
124,511,Pettygrove Park,1.17302451,412.901934343871,9667.19395963705
125,512,Piccolo Park,0.57399635,304.414112463821,4729.30202708941
126,1236,Pier Community Garden,0.97955393,408.067427005023,8098.11884367836
127,513,Pier Park,84.9982279,7236.27967677276,702748.999761117
128,515,Pioneer Courthouse Square,0.91842199,348.047241142343,7571.03942262639
129,1128,Pittock Acres Park,54.93511225,3322.62725105261,452943.015030674
130,523,Portland Heights Park,5.08267483,906.801096870543,41877.6040553281
131,884,Portsmouth Community Garden,0.22935899,174.160477113598,1895.15573155064
132,527,Portsmouth Park,4.02505459,748.605461764671,33250.6310421085
133,530,Powell Park,8.09094019,1171.23737957673,66648.1751864154
134,531,Powers Marine Park,19.69923447,4337.66066153637,162066.302561109
135,561,Raymond Park,6.11476816,1165.14701839012,50349.9209547337
136,562,Red Tail Golf Course,163.7556315,5274.29912968418,1347096.32082838
137,565,Richmond Property,0.3024869,324.022941605103,2492.27137973769
138,1261,Rigler Community Garden,0.37413747,227.019978416337,3088.20488035428
139,570,Rose City Golf Course,144.26744704,5053.19079691632,1190140.64939014
140,573,Rose City Park,8.41060562,1681.05269098914,69380.5257683039
141,574,Roselawn Park,0.11979488,127.722363758246,988.995048336342
142,575,Rosemont Bluff Natural Area,2.16167166,780.293276400847,17827.3947429286
143,915,"Ross, Vernon Veterans Memorial",0.00109808,15.89264302849,9.05897814942475
144,1197,SW Dickinson and 62nd,0.21215128,165.616480102014,1744.52303139162
145,789,SW Talbot Property,0.04628693,106.301528577567,381.386601813037
146,800,SW Thomas and 53rd,2.81153454,605.900954211948,23157.0925872646
147,578,Sabin Community Garden,0.21589634,210.13389892164,1781.97588547104
148,580,Sacajawea Park,4.86048473,903.160935967535,40124.6587977601
149,663,Sellwood Community Center,0.22959943,173.856366025197,1889.12493608031
150,1230,Sellwood Community Garden,0.22957388,173.839407418345,1888.7539179122
151,666,Sellwood Park,16.64919961,1638.51481134569,137002.249344692
152,670,Sewallcrest Park,4.91857263,975.821921616843,40533.3828831507
153,1385,Elizabeth Caruthers Park,2.12259245,575.253447314183,17484.2924266837
154,675,Maint Facility - SE 136th and Holgate,0.70797609,329.873922544526,5828.59346049341
155,678,Spring Garden Park,4.56447506,806.826617371957,37553.2032021663
156,681,St Johns Park,5.87292322,1036.32148882512,48539.5164918798
157,682,St Johns Racquet Center,1.25033408,442.73751794793,10333.443216079
158,917,Stark Street Island,0.41101326,308.270491768604,3388.18778218979
159,714,Sumner-Albina Park,0.08151607,104.462414862693,672.956189325977
160,715,Sunnyside School Park,1.64795564,479.735945324032,13583.2711827782
161,1200,Sylvania Park,3.11831814,679.597372770275,25637.8204163391
162,1273,Tanner Springs Park,0.91827684,348.095092460889,7573.11650651779
163,811,Cottonwood Creek Natural Area,1.65543315,482.954482699159,13620.5386851658
164,1174,Thomas Cully Property,24.73067664,2065.9765986774,204195.14937258
165,814,Thompson Park,4.41664633,998.795868581815,36435.1676639599
166,920,Toe Island,0.46597091,420.532373764988,3836.31705559828
167,820,Trenton Park,2.29568063,610.201991256021,18970.4083773068
168,821,Tryon Creek Headwaters,2.53612231,756.344533732696,20864.2180905932
169,1010,Two Plum Park,0.34438862,261.03795783826,2842.34790131415
170,832,Ventura Park,7.17678327,1110.84312267537,59163.9627178202
171,839,Wallace Park,5.38277651,844.879416434735,44395.4765211224
172,1264,Washington High School Property,4.49960081,939.879852170149,37091.9384592671
173,844,Water and Gibbs Community Garden,0.26481069,222.473962058564,2181.47231950481
174,846,Wellington Park,3.96809213,731.613633376833,32750.4903873051
175,850,West Powellhurst Park,3.68263568,930.479722404707,30340.5883088937
176,921,Willamette Moorage,17.2427901,2288.63998234755,141889.91344961
177,862,Wilshire Park,14.29984545,1525.25626290485,118020.600285196
178,863,Ida B Wells-Barnett Outdoor Pool,0.5187473,277.673614628736,4270.11396993706
179,864,Woodlawn Community Garden,0.41940226,273.800014871538,3464.07051471613
180,865,Woodlawn Park,8.22777088,1655.14998522916,67954.6453460458
181,867,Woodstock Community Center,0.11481734,130.378238692865,945.201758769831
182,868,Woodstock Park,14.10659362,1381.57467100265,116143.922377629
183,922,Wright Island,4.34897507,1442.10536559711,35948.6273200426
184,147,George Himes Park,35.96957313,3838.85057260716,296080.332010899
185,1196,Johnswood Property,1.25124539,642.765242866584,10344.4447397572
186,568,Rocky Butte Natural Area,19.63524357,3351.53919981289,162017.267300834
187,1337,Peace Community Garden,0.26128687,208.699216723852,2153.43482370121
188,925,Clatsop Butte Park,44.41481737,4061.9740975389,365557.387335395
189,528,Powell Butte Nature Park,603.03510341,12855.9973448225,4965448.18953413
190,524,Portland International Raceway,289.27600971,7875.61181523304,2391158.32673283
191,490,Oaks Bottom Wildlife Refuge,161.58184174,11618.3915069508,1330030.01578982
192,265,Mill Ends Park,0.00036893,6.70737825797729,3.04102355891469
193,491,Oaks Crossing,6.02662602,912.50751477069,49592.4569563418
194,668,Sellwood Riverfront Park,8.17102281,1066.60061793579,67234.6690647596
195,68,Brooklyn School Park,3.58837105,817.271679696756,29555.6723859052
196,1322,Alder Ridge Natural Area,13.74593349,2204.38453105366,113462.951621995
197,1384,Khunamokwst Park,2.43282935,567.995873280131,20083.090060469
198,1336,Hazelwood Community Garden,0.33876732,207.959123335191,2793.80954757097
199,120,Fernhill Park,26.70782896,2267.84949205559,220535.729928634
200,210,Kelly Butte Natural Area,23.34230646,2895.17132642613,192300.606989972
201,711,Stephens Creek Natural Area,4.73026276,1234.14490630243,38930.0016028218
202,55,Ash Creek Natural Area,5.64473285,1188.31040382924,46417.9435288262
203,1198,Foley-Balmer Natural Area,9.64063924,1527.62289933489,79296.8944409395
204,252,Marshall Park,25.99971999,4520.2631782314,213842.794745369
205,239,Lincoln Park,7.06097893,973.865266432997,58188.201956499
206,124,Floyd Light Park,7.64585067,1653.53170213774,63022.1160619553
207,1393,Powell Butte - Lower Floodplain,65.24447638,7660.66177992067,537094.055349491
208,1055,Mitchell Creek Natural Area,73.43524156,5324.27233520735,604062.531692712
209,220,Knott Park,12.74197848,1859.64207398567,105119.037885081
210,1201,Kimmel Property,0.25108698,246.828909754162,2072.16780694447
211,2,Cherry Park,10.22776377,1552.50778538963,84283.9211262571
212,14,Columbia Buffer,4.52353809,2190.55639101548,37383.7889154023
213,824,University Park,11.4904347,1635.05681798605,94949.6458801627
214,247,Madrona Park,9.45218246,2420.18095386319,78024.9468307539
215,241,Lotus Isle Park,1.64511994,688.675555232296,13603.6350735552
216,841,Washington Park,243.07657825,10264.6185576216,2003611.64582537
217,23,Couch Park,2.40128689,628.668207485265,19800.5215503864
218,674,South Park Blocks,8.73071046,3774.65447208151,71956.2718160447
219,748,SW Hall and 14th,0.53545834,314.624238545186,4413.09232955445
220,852,Westmoreland Park,43.09213459,4283.80930657835,354618.812002099
221,1321,West Lents Floodplain,5.25968324,1161.36399700654,43278.2366336682
222,1388,Maint Facility - 89th and Flavel,1.89971442,653.252344154725,15632.95103487
223,15,Columbia Childrens Arboretum,27.17813782,2579.75922090608,224633.813786842
224,812,PlayHaven Park,3.15160679,673.874611026163,25934.6020004202
225,1224,Senns Dairy Park,1.05963946,479.445992956916,8746.24328915769
226,92,Burlingame Park,4.66853319,1186.93416831079,38415.5499999272
227,61,Bloomington Park,12.86525054,1307.29244019708,105930.483837235
228,101,Earl Boyles Park,7.83997298,1387.56662196515,64569.6229975337
229,1199,Gates Park,11.19590666,1631.7256752433,92198.8033641837
230,1398,Brannen Property,0.34440593,217.387120452627,2833.57787352151
231,218,Kingsley D Bundy Property,6.98832988,1829.29640405899,57517.8688090174
232,1223,Green Thumb,12.86345212,1329.58486689963,105871.410375294
233,215,Kenton Park,12.39881453,1281.95025379375,102442.013334825
234,497,Overlook Park,11.29768632,2144.01455660216,93230.0699866331
235,150,Gilbert Primary Park,4.39363213,861.037274794283,36167.4445252618
236,112,Ed Benedict Park,13.43188301,1911.71255171366,110634.233485429
237,149,Gilbert Heights Park,3.80785898,779.641497198573,31360.6639020501
238,857,Wilkes Park,1.88356832,596.060481527984,15544.1924545272
239,833,Vermont Hills Community Garden,0.42715258,263.68363978417,3516.49690110596
240,1395,Beggars Tick,20.54099887,1782.446911876,169096.28242494
241,815,Tideman Johnson Natural Area,7.58787263,1864.72800330182,62427.6514749339
242,60,Blair Community Garden,0.19961219,229.503172751744,1645.50685157679
243,5,Chimney Park,18.38545359,2008.24956260215,152029.315432414
244,1407,Veterans Creek Natural Area,5.77414819,1017.94347338062,47510.1034654244
245,1267,The Fields,3.3507525,757.112925419172,27635.7662992341
246,90,Buckman Field,11.47704821,1347.83695364832,94633.4666905666
247,1386,Buttes Natural Area,152.1031183,11024.6482289353,1251669.3422289
248,793,SW Terwilliger Blvd Parkway,102.81563558,13082.7808168448,846743.790475098
249,906,Mocks Crest Property,5.86300239,1150.90032269716,48391.7717525057
250,1406,Baltimore Woods Natural Area,7.40058745,2379.56179077954,61168.8073012309
251,679,Springwater Corridor,263.28269115,96106.9022426691,2166944.38001577
252,1410,Furey Community Garden,0.36812427,226.284864650532,3030.62602653147
253,34,East Delta Park,87.46555299,4423.38633263958,723048.90818793
254,849,Loll Wildwood Natural Area,24.04628906,2827.27050254485,197704.342090155
255,203,Johns Community Garden,0.9855965,548.337393122137,8144.00969564189
256,105,Vera Katz Eastbank Esplanade,10.69104671,6442.14950884966,88134.440668756
257,861,Willamette Park,26.25910982,3004.46705835674,216131.928699392
258,1383,Vestal Community Garden,0.38524191,240.396170489678,3176.42854874945
259,1414,Wilkes Headwaters Property,20.70914279,2157.53998406516,170875.919707394
260,1411,South Waterfront Greenway Central District,4.35762237,1283.63404100978,35895.0876840438
261,8,Lan Su Chinese Garden,1.02961546,369.864714614252,8489.67303779721
262,1417,Big Four Corners Natural Area,145.06120265,10348.3627270599,1197228.40804884
263,1416,Cross Levee Natural Area,10.74346302,1362.95633347247,88688.7650430167
264,1241,Columbia Slough Natural Area,1.92158809,581.837066456689,15866.3824712469
265,1404,Clarendon Community Garden,0.13390409,131.069716645525,1106.59768741984
266,1421,Bridgeton Slough Natural Area,1.23551032,473.182442988178,10214.7243751111
267,1427,River View Natural Area,146.06173699,5533.00544687322,1201416.05531429
268,1332,Ross Island Natural Area,34.28398903,5444.30025070842,282361.852545013
269,834,Sabin HydroPark,2.17271766,545.259387225093,17933.5230474135
270,277,Maint Facility - Mt Tabor Yard,8.52859088,1352.32910841647,70275.6531474718
271,1139,Plaza Blocks,1.83690961,696.069143873831,15140.9520879122
272,522,Park Ranger Headquarters,0.0216969,54.4875555428946,178.805305557974
273,1415,Kenton Community Garden,0.40174569,239.659144175435,3319.7761766415
274,1443,Grant Community Garden,0.15012728,146.480502505313,1238.48397822287
275,866,Woods Memorial Natural Area,45.97955307,5093.94553513933,378235.005730379
276,1458,Indian Creek Natural Area,6.91036329,1239.24704477331,56866.254975
277,1413,Deardorff Creek Natural Area,9.97151033,2014.27022890945,82060.2611302153
278,209,Kelley Point Park,104.69019694,5087.56904002241,866880.999545778
279,1222,Brookside,22.16337294,2986.42384238645,182424.608598034
280,1459,Helensview Community Garden,0.25124483,183.536652132321,2074.29666104562
281,1462,Catkin Marsh Natural Area,54.90875652,3930.38656920941,453646.992063311
282,893,Wahoo Creek Natural Area,37.48777845,4396.66184686985,308475.546310687
283,1465,Centennial Park Community Garden,0.24393256,207.867405917344,2010.37925914807
284,1464,Oliver-Parklane Community Garden,0.23815344,208.108221810805,1962.98135762867
285,1461,Flyway Wetlands Natural Area,27.2597953,3091.73442980557,225301.166047494
286,292,Multnomah Arts Center,5.92350969,908.340421586968,48743.47041593
287,1480,Colwood Property,91.75859209,4025.34200407516,757770.679226956
288,1479,SE Division St and SE 150th Ave Property,7.43259074,1238.03209770959,61235.517321026
289,226,Leach Botanical Garden,17.34516866,2595.15874142964,142762.296282413
290,50,Ankeny Plaza,0.21434795,183.8761358847,1767.19803359225
291,1484,Gateway Green Property,25.26695138,3286.73809282583,208372.40648624
292,1463,Foster Floodplain Natural Area,54.09339734,3411.17246771082,445217.625234953
293,114,Errol Heights Park,16.85507149,2186.00672407611,138679.408839745
294,1405,Marine Drive Trail,1.10069199,730.022146515211,9100.76560660417
295,1487,N Crawford St and N Polk Ave Property,2.99149029,681.263300781803,24715.1221888532
296,56,Luuwit View Park,15.82032938,2115.33765568803,130557.622951788
297,1489,Crossroads Community Garden,0.11248852,121.710885582256,925.843686855883
298,856,Whitaker Ponds Natural Area,25.76079138,2330.42838238448,212768.540760512
299,341,N Swan Island Boat Ramp,1.65308158,766.920590811766,13650.7975380585
300,156,Gov Tom McCall Waterfront Park,34.20836254,7718.77795241848,281981.114598024
301,916,South Waterfront Park,4.51550007,1239.34811250434,37209.3258688159
302,1498,Powell Butte Community Garden,0.7313777,413.011634300782,6024.57169525356
303,251,Marquam Nature Park,204.98802425,16054.6841594634,1688532.00433256
304,1335,Simon and Helen Director Park,0.70666104,314.328897016794,5824.88152105175
305,1494,Eastminster Community Garden,0.61460146,323.535440247083,5069.24003326255
306,1366,Gateway Discovery Park,3.01394533,744.318569752138,24857.5396823191
307,1503,Floyd Light Community Garden,0.45294975,317.159931820244,3733.81309594211
308,1504,David Douglas Community Garden,0.4239667,242.809619164228,3494.28204349053
309,189,Hoyt Arboretum,157.16564462,10102.0363881062,1295481.87145517
310,1500,Marquam Trail,25.86739886,3207.27612050082,213137.880887962
311,1505,Cesar Chavez Community Garden,0.25381556,183.052948969705,2089.64869755949
312,127,Forest Park,5110.22238616,86818.0135889282,42205155.8157112
313,885,Patton Community Garden,0.19407117,191.633830763584,1602.00800864795
314,224,Laurelhurst Park,33.16390754,2565.06398672001,273409.930743382
315,266,Mill Park,6.20611029,1487.20838605518,51143.2895410826
316,1412,Waud Bluff Trail,10.1800003,1815.3982414424,38019.2902906677
